capability_id,interface_id,transport,producer,consumer,classification,ui_route,ui_entry,scope,risk,status_coverage,test_id,evidence,owner,gap,status
CAP-0001,/api/v1/admin/data-cleanups/,REST,query-api,/api/v1/admin/data-cleanups/preview,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0002,/api/v1/admin/data-cleanups/execute,REST,query-api,none,D,,,tenant+cluster,internal,loading|success|empty|partial|stale|failed|forbidden,,,internal,,API_ONLY_OK
CAP-0003,/api/v1/admin/data-cleanups/preview,REST,query-api,/api/v1/admin/data-cleanups/preview,C,/settings?section=health,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,health,,MAPPED
CAP-0004,/api/v1/ai/actions,REST,query-api,/api/v1/ai/actions,B,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,actions,,MAPPED
CAP-0005,/api/v1/ai/actions/,REST,query-api,/api/v1/ai/actions,B,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,actions,,MAPPED
CAP-0006,/api/v1/ai/agents,REST,query-api,/api/v1/ai/agents,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0007,/api/v1/ai/agents/,REST,query-api,/api/v1/ai/agents,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0008,/api/v1/ai/chat,REST,query-api,/api/v1/ai/chat,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0009,/api/v1/ai/final_report,REST,query-api,/api/v1/ai/final_report,A,/ai-operations,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,ai-operations,,MAPPED
CAP-0010,/api/v1/ai/flows,REST,query-api,/api/v1/ai/flows,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0011,/api/v1/ai/flows/,REST,query-api,/api/v1/ai/flows,C,/settings?section=workflow,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,workflow,,MAPPED
CAP-0012,/api/v1/ai/kg,REST,query-api,/api/v1/ai/kg/health,A,/knowledge-graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,knowledge-graph,,MAPPED
CAP-0013,/api/v1/ai/kg/,REST,query-api,/api/v1/ai/kg/health,A,/knowledge-graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,knowledge-graph,,MAPPED
CAP-0014,/api/v1/ai/kg/ops/,REST,query-api,/api/v1/ai/kg/ops/sync-states,C,/settings?section=graph,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,graph,,MAPPED
CAP-0015,/api/v1/ai/knowledge,REST,query-api,/api/v1/ai/knowledge,C,/settings?section=rag,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,rag,,MAPPED
CAP-0016,/api/v1/ai/knowledge/,REST,query-api,/api/v1/ai/knowledge,C,/settings?section=rag,,tenant+cluster,read,loading|success|empty|partial|stale|failed|forbidden,,,rag,,MAPPED
